Pintado,EA,full_no_parte,no_parte-1,no_parte-2,no_parte-3,no_parte-4,no_parte-5,color,description,Barniz,g-B,Tiner,g-T,Catalizador,g-C
102400031, EA ,2GJ.867.440.C.7N5,2GJ,867,440,C,7N5,DARK BLUE, PUERTA TIB CL DER SIN/SW DARK BLUE,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400032, EA ,2GJ.867.439.A.7P7,2GJ,867,439,A,7P7,DARK MARINE, PUERTA TIB CL IZQ CON/SW DARK MARINE,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400033, EA ,2GJ.867.440.C.7P7,2GJ,867,440,C,7P7,DARK MARINE, PUERTA TIB CL DER SIN/SW DARK MARINE,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400034, EA ,2GJ.867.439.A.9D9,2GJ,867,439,A,9D9,CAPUCCINO BEIGE, PUERTA TIB CL IZQ CON/SW CAPUCCINO BEIGE,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400035, EA ,2GJ.867.440.C.9D9,2GJ,867,440,C,9D9,CAPUCCINO BEIGE, PUERTA TIB CL DER SIN/SW CAPUCCINO BEIGE,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400036, EA ,2GJ.867.061.3LC,2GJ,867,61,3LC,,ENERGETIC ORANGE, PUERTA TIB HL IZQ CON/SW ENERGETIC ORANGE,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400037, EA ,2GJ.867.062A.3LC,2GJ,867,062A,3LC,,ENERGETIC ORANGE, PUERTA TIB HL DER CON/SW ENERGETIC ORANGE,ALEXIT HighGloss Clearcoat 460-SR,0.025,903-89,0.025,ALEXIT Härter 405-96,0.016666666666667
102400038, EA ,2GJ.867.061.9D9,2GJ,867,61,9D9,,CAPUCCINO BEIGE, PUERTA TIB HL IZQ CON/SW CAPUCCINO BEIGE ,ALEXIT HighGloss Clearcoat 460-SR,0.0439956,903-89,0.0219978,ALEXIT Härter 405-96,0.022
102400039, EA ,2GJ.867.062A.9D9,2GJ,867,062A,9D9,,CAPUCCINO BEIGE, PUERTA TIB HL DER SIN/SW CAPUCCINO BEIGE,,,,,,
102400040, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED CAPUCCINO BEIGE AL, VISOR PINTADO FS CL/HL CAPUCCINO BEIGE,,,,,,
102400041, EA ,2GJ.858.416.D.004,2GJ,858,416,D,4,PAINTED CAPUCCINO BEIGE AL, VISOR PINTADO BFS HL 10.0 CAPUCCINO BEIGE,,,,,,
102400042, EA ,2GJ.858.416.C.001,2GJ,858,416,C,1,PAINTED PIANO BLACK, VISOR PINTADO BFS 6.5 TL PIANO BLACK,,,,,,
102400043, EA ,2GJ.858.415.E,2GJ,858,415,E,,PAINTED PIANO BLACK," VISOR PINTADO FS TL PIANO BLACK  10""",,,,,,
102400044, EA ,2GJ.858.415.003.J,2GJ,858,415,3,J,PAINTED PIANO BLACK, VISOR PINTADO FS F/G PIANO BLACK ,,,,,,
102400045, EA ,2GJ.858.416.F.005,2GJ,858,416,F,5,PAINTED PIANO BLACK, VISOR PINTADO BFS HL 10.0  PIANO BLACK,,,,,,
