Pintado,EA,full_no_parte,no_parte-1,no_parte-2,no_parte-3,no_parte-4,no_parte-5,color,description,Base,g-base,Tiner 1,g-T1,Tiner 2,g-T2,Tiner 3,g-T3,Catalizador,g-C
102400027, EA ,2GJ.867.062.A.8Z6,2GJ,867,62,A,8Z6,CARIBOU GRAY, PUERTA TIB HL DER SIN/SW CARIBOU GRAY,Caribou Gray,0.0179982,901-86,0.00629937,903-89,0.00269973,,,ALEXIT Härter 450,0.01079892
102400028, EA ,2GJ.867.062.A.3LB,2GJ,867,62,A,3LB,DEEP IRON, PUERTA TIB HL DER SIN/SW DEEP IRON,Deep Iron,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400029, EA ,2GJ.867.439.A.7N5,2GJ,867,439,A,7N5,DARK BLUE, PUERTA TIB CL IZQ CON/SW DARK BLUE,Dark Blue,0.0111,901-86,0.0089,,,,,ALEXIT Härter 450,0.00111
102400030, EA ,2GJ.867.440.A.7N5,2GJ,867,440,A,7N5,DARK BLUE, PUERTA TIB CL DER CON/SW DARK BLUE,Dark Blue,0.0111,901-86,0.0089,,,,,ALEXIT Härter 450,0.00111
102400031, EA ,2GJ.867.440.C.7N5,2GJ,867,440,C,7N5,DARK BLUE, PUERTA TIB CL DER SIN/SW DARK BLUE,Dark Blue,0.0111,901-86,0.0089,,,,,ALEXIT Härter 450,0.00111
102400032, EA ,2GJ.867.439.A.7P7,2GJ,867,439,A,7P7,DARK MARINE, PUERTA TIB CL IZQ CON/SW DARK MARINE,Dark Marine,0.012765,901-86,0.010235,,,,,ALEXIT Härter 450,0.001277777
102400033, EA ,2GJ.867.440.C.7P7,2GJ,867,440,C,7P7,DARK MARINE, PUERTA TIB CL DER SIN/SW DARK MARINE,Dark Marine,0.012765,901-86,0.010235,,,,,ALEXIT Härter 450,0.001277777
102400034, EA ,2GJ.867.439.A.9D9,2GJ,867,439,A,9D9,CAPUCCINO BEIGE, PUERTA TIB CL IZQ CON/SW CAPUCCINO BEIGE,Cappuccino Beige,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400035, EA ,2GJ.867.440.C.9D9,2GJ,867,440,C,9D9,CAPUCCINO BEIGE, PUERTA TIB CL DER SIN/SW CAPUCCINO BEIGE,Cappuccino Beige,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400036, EA ,2GJ.867.061.3LC,2GJ,867,61,3LC,,ENERGETIC ORANGE, PUERTA TIB HL IZQ CON/SW ENERGETIC ORANGE,Energetic Orange,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400037, EA ,2GJ.867.062A.3LC,2GJ,867,062A,3LC,,ENERGETIC ORANGE, PUERTA TIB HL DER CON/SW ENERGETIC ORANGE,Energetic Orange,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400038, EA ,2GJ.867.061.9D9,2GJ,867,61,9D9,,CAPUCCINO BEIGE, PUERTA TIB HL IZQ CON/SW CAPUCCINO BEIGE ,Cappuccino Beige,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400039, EA ,2GJ.867.062A.9D9,2GJ,867,062A,9D9,,CAPUCCINO BEIGE, PUERTA TIB HL DER SIN/SW CAPUCCINO BEIGE,Cappuccino Beige,0.019998,903-89,0.009999,,,,,ALEXIT Härter 450,0.0119988
102400040, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED CAPUCCINO BEIGE AL, VISOR PINTADO FS CL/HL CAPUCCINO BEIGE,Cappuccino Beige,0.0359964,903-89,0.0179982,,,,,ALEXIT Härter 450,0.00359964
102400041, EA ,2GJ.858.416.D.004,2GJ,858,416,D,4,PAINTED CAPUCCINO BEIGE AL, VISOR PINTADO BFS HL 10.0 CAPUCCINO BEIGE,Cappuccino Beige,0.0513282,903-89,0.0256641,,,,,ALEXIT Härter 450,0.00513282
102400042, EA ,2GJ.858.416.C.001,2GJ,858,416,C,1,PAINTED PIANO BLACK, VISOR PINTADO BFS 6.5 TL PIANO BLACK,Piano Black,0.058,901-B9,0.007733333,901-86,0.007733333,909-1N,0.003866667,ALEXIT Härter 405-96,0.019333333333333
102400043, EA ,2GJ.858.415.E,2GJ,858,415,E,,PAINTED PIANO BLACK," VISOR PINTADO FS TL PIANO BLACK  10""",Piano Black,0.023331,901-B9,0.004666667,901-86,0.004666667,909-1N,0.002333333,ALEXIT Härter 405-96,0.010606060606061
102400044, EA ,2GJ.858.415.003.J,2GJ,858,415,3,J,PAINTED PIANO BLACK, VISOR PINTADO FS F/G PIANO BLACK ,Piano Black,0.023331,901-B9,0.004666667,901-86,102800037,909-1N,0.002333333,ALEXIT Härter 405-96,0.010606060606061
102400045, EA ,2GJ.858.416.F.005,2GJ,858,416,F,5,PAINTED PIANO BLACK, VISOR PINTADO BFS HL 10.0  PIANO BLACK,Piano Black,0.058,901-B9,0.007733333,901-86,0.007733333,909-1N,0.003866667,ALEXIT Härter 405-96,0.019333333333333
